iter	Passed	Remaining
590	2784	1926
591	2786	1920
592	2788	1913
593	2790	1907
594	2792	1901
595	2807	1903
596	2812	1898
597	2814	1892
598	2816	1885
599	2818	1879
600	2820	1872
601	2822	1866
602	2852	1878
603	2855	1872
604	2861	1868
605	2863	1861
606	2865	1855
607	2867	1848
608	2870	1842
609	2882	1842
610	2884	1836
611	2889	1831
612	2891	1825
613	2893	1818
614	2895	1812
615	2927	1825
616	2930	1819
617	2933	1813
618	2936	1807
619	2940	1802
620	2943	1796
621	2946	1790
622	2948	1784
623	2952	1778
624	2954	1772
625	2956	1766
626	2958	1760
627	2988	1770
628	2991	1764
629	2996	1760
630	3002	1755
631	3004	1749
632	3007	1743
633	3011	1738
634	3016	1734
635	3020	1728
636	3023	1722
637	3025	1716
638	3027	1710
639	3060	1721
640	3066	1717
641	3070	1711
642	3073	1706
643	3079	1702
644	3083	1696
645	3086	1691
646	3091	1686
647	3094	1681
648	3096	1674
649	3098	1668
650	3133	1679
651	3136	1673
652	3139	1668
653	3143	1663
654	3146	1657
655	3148	1650
656	3150	1644
657	3152	1638
658	3154	1632
659	3167	1631
660	3202	1642
661	3244	1656
662	3247	1650
663	3250	1644
664	3252	1638
665	3256	1633
666	3258	1627
667	3261	1621
668	3264	1615
669	3266	1608
670	3271	1603
671	3273	1597
672	3292	1599
673	3294	1593
674	3297	1587
675	3299	1581
676	3301	1575
677	3305	1569
678	3307	1563
679	3309	1557
680	3314	1552
681	3323	1549
682	3325	1543
683	3327	1537
684	3329	1531
685	3331	1524
686	3335	1519
687	3337	1513
688	3339	1507
689	3341	1501
690	3343	1494
691	3345	1488
692	3346	1482
693	3359	1481
694	3361	1475
695	3364	1469
696	3368	1464
697	3370	1458
698	3371	1452
699	3373	1445
700	3375	1439
701	3377	1433
702	3380	1428
703	3383	1422
704	3386	1417
705	3389	1411
706	3391	1405
707	3393	1399
708	3399	1395
709	3402	1389
710	3406	1384
711	3415	1381
712	3419	1376
713	3425	1371
714	3427	1366
715	3429	1360
716	3431	1354
717	3433	1348
718	3436	1343
719	3446	1340
720	3449	1334
721	3451	1329
722	3454	1323
723	3459	1318
724	3462	1313
725	3472	1310
726	3479	1306
727	3487	1302
728	3490	1297
729	3492	1291
730	3502	1288
731	3507	1284
732	3510	1278
733	3515	1274
734	3520	1269
735	3524	1264
736	3532	1260
737	3534	1254
738	3538	1249
739	3554	1248
740	3561	1244
741	3564	1239
742	3567	1234
743	3569	1228
744	3571	1222
745	3574	1216
746	3576	1211
747	3578	1205
748	3580	1199
749	3582	1194
750	3584	1188
751	3587	1183
752	3590	1177
753	3592	1171
754	3593	1166
755	3595	1160
756	3597	1154
757	3601	1149
758	3602	1143
759	3605	1138
760	3607	1132
761	3608	1127
762	3610	1121
763	3612	1115
764	3616	1110
765	3617	1105
766	3619	1099
767	3621	1094
768	3623	1088
769	3624	1082
770	3626	1077
771	3630	1072
772	3632	1066
773	3634	1061
774	3636	1055
775	3638	1050
776	3639	1044
777	3641	1039
778	3645	1034
779	3646	1028
780	3648	1023
781	3650	1017
782	3651	1011
783	3653	1006
784	3654	1000
785	3656	995
786	3658	990
787	3661	985
788	3663	979
789	3666	974
790	3668	969
791	3669	963
792	3671	958
793	3675	953
794	3677	948
795	3678	942
796	3680	937
797	3681	932
798	3683	926
799	3685	921
800	3690	916
801	3692	911
802	3693	906
803	3695	900
804	3696	895
805	3698	890
806	3699	884
807	3701	879
808	3704	874
809	3706	869
810	3708	864
811	3710	859
812	3712	853
813	3713	848
814	3715	843
815	3718	838
816	3721	833
817	3723	828
818	3725	823
819	3727	818
820	3729	813
821	3731	807
822	3734	803
823	3736	798
824	3737	792
825	3739	787
826	3741	782
827	3743	777
828	3746	772
829	3751	768
830	3754	763
831	3756	758
832	3758	753
833	3760	748
834	3763	743
835	3766	738
836	3767	733
837	3769	728
838	3770	723
839	3772	718
840	3774	713
841	3775	708
842	3779	703
843	3780	698
844	3782	693
845	3783	688
846	3785	683
847	3786	678
848	3788	673
849	3789	668
850	3791	663
851	3794	659
852	3796	654
853	3798	649
854	3800	644
855	3802	639
856	3803	634
857	3806	629
858	3809	625
859	3811	620
860	3812	615
861	3814	610
862	3817	605
863	3819	601
864	3822	596
865	3824	591
866	3825	586
867	3827	582
868	3828	577
869	3830	572
870	3831	567
871	3833	562
872	3836	558
873	3838	553
874	3840	548
875	3842	543
876	3844	539
877	3845	534
878	3847	529
879	3850	525
880	3852	520
881	3854	515
882	3856	510
883	3857	506
884	3859	501
885	3860	496
886	3862	492
887	3865	487
888	3867	482
889	3868	478
890	3870	473
891	3871	468
892	3873	464
893	3874	459
894	3876	454
895	3878	450
896	3881	445
897	3883	441
898	3885	436
899	3887	431
900	3889	427
901	3891	422
902	3894	418
903	3897	413
904	3899	409
905	3901	404
906	3902	400
907	3904	395
908	3912	391
909	3913	387
910	3915	382
911	3917	377
912	3918	373
913	3920	368
914	3921	364
915	3924	359
916	3926	355
917	3928	350
918	3930	346
919	3932	341
920	3934	337
921	3935	332
922	3937	328
923	3942	324
924	3944	319
925	3945	315
926	3947	310
927	3949	306
928	3950	301
929	3952	297
930	3955	293
931	3956	288
932	3958	284
933	3960	279
934	3961	275
935	3963	270
936	3965	266
937	3966	262
938	3969	257
939	3971	253
940	3973	249
941	3975	244
942	3977	240
943	3979	236
944	3980	231
945	3985	227
946	3987	223
